"price","model","year","mileage","mpg","fuelType","engineSize","tax","transmission"
9.5,"Passat",2015,90.46,67.3,"Diesel",2,20,"Manual"
26.99,"Passat",2019,3.771,48.7,"Diesel",2,145,"Semi-Auto"
6.295,"Passat",2015,123.2,68.9,"Diesel",1.6,20,"Manual"
5.99,"Passat",2012,63,61.4,"Diesel",2,30,"Manual"
16.38,"Passat",2017,29.221,62.8,"Diesel",2,145,"Semi-Auto"
8.795,"Passat",2016,79.69,68.9,"Diesel",2,20,"Manual"
11.498,"Passat",2015,64.744,62.8,"Diesel",2,30,"Semi-Auto"
22.48,"Passat",2020,2.576,45.6,"Petrol",1.5,145,"Manual"
11,"Passat",2017,73.127,67.3,"Diesel",2,20,"Manual"
14.49,"Passat",2016,35.3,67.3,"Diesel",2,20,"Manual"
18.499,"Passat",2018,19.392,41.5,"Petrol",1.5,145,"Automatic"
11.29,"Passat",2016,48.02,62.8,"Diesel",2,30,"Semi-Auto"
13.995,"Passat",2017,23.895,67.3,"Diesel",2,20,"Manual"
20.495,"Passat",2018,22.765,57.6,"Diesel",2,150,"Semi-Auto"
22.99,"Passat",2019,4.321,45.6,"Petrol",1.5,145,"Manual"
10.399,"Passat",2016,48.918,70.6,"Diesel",1.6,20,"Manual"
31,"Passat",2020,5,48.7,"Diesel",2,145,"Semi-Auto"
22.49,"Passat",2017,18.5,166,"Hybrid",1.4,135,"Automatic"
19.995,"Passat",2017,27.578,166,"Hybrid",1.4,0,"Semi-Auto"
16.99,"Passat",2019,14.682,54.3,"Diesel",2,145,"Manual"
15.7,"Passat",2017,36.556,62.8,"Diesel",2,30,"Semi-Auto"
22.498,"Passat",2017,27.501,166,"Hybrid",1.4,135,"Semi-Auto"
13.983,"Passat",2019,11.729,51.4,"Diesel",2,150,"Manual"
6.5,"Passat",2015,138.57,70.6,"Diesel",1.6,20,"Automatic"
13.495,"Passat",2018,31.971,68.9,"Diesel",1.6,145,"Manual"
6.99,"Passat",2013,75,61.4,"Diesel",2,30,"Manual"
10.5,"Passat",2016,43.699,76.3,"Diesel",1.6,0,"Manual"
9.45,"Passat",2015,46.63,68.9,"Diesel",1.6,20,"Manual"
10.499,"Passat",2016,50.415,70.6,"Diesel",1.6,20,"Manual"
10.299,"Passat",2016,56.778,68.9,"Diesel",1.6,20,"Manual"
25.96,"Passat",2019,5.309,48.7,"Diesel",2,145,"Automatic"
11.691,"Passat",2017,77.445,70.6,"Diesel",1.6,145,"Semi-Auto"
7.393,"Passat",2015,124,67.3,"Diesel",2,20,"Manual"
9.299,"Passat",2015,69.629,67.3,"Diesel",2,20,"Manual"
17.8,"Passat",2017,26,62.8,"Diesel",2,145,"Semi-Auto"
10.799,"Passat",2016,77.857,68.9,"Diesel",2,20,"Manual"
19.49,"Passat",2018,18.4,54.3,"Petrol",1.4,145,"Manual"
8.049,"Passat",2015,82.934,68.9,"Diesel",2,20,"Manual"
11.999,"Passat",2016,41.792,67.3,"Diesel",2,20,"Manual"
10.997,"Passat",2016,74.182,60.1,"Diesel",2,125,"Automatic"
20.5,"Passat",2018,38.899,166,"Hybrid",1.4,135,"Automatic"
8.492,"Passat",2015,113,68.9,"Diesel",2,20,"Manual"
20.599,"Passat",2017,30.828,53.3,"Diesel",2,145,"Automatic"
5.793,"Passat",2015,130,68.9,"Diesel",1.6,20,"Manual"
11.35,"Passat",2017,37.051,70.6,"Diesel",1.6,20,"Manual"
9.999,"Passat",2015,57.14,76.3,"Diesel",1.6,0,"Manual"
18.99,"Passat",2019,11.341,44.1,"Petrol",1.5,145,"Manual"
11.995,"Passat",2015,53,70.6,"Diesel",1.6,20,"Automatic"
5.975,"Passat",2012,79,64.2,"Diesel",1.6,30,"Manual"
30.99,"Passat",2019,6,43.5,"Hybrid",1.4,135,"Semi-Auto"
16.812,"Passat",2019,19.033,51.4,"Diesel",2,145,"Manual"
17.998,"Passat",2018,6.502,45.6,"Petrol",1.5,150,"Manual"
23.695,"Passat",2017,25.885,166,"Hybrid",1.4,135,"Semi-Auto"
12.202,"Passat",2016,38.93,68.9,"Diesel",1.6,20,"Automatic"
15.911,"Passat",2016,46.664,54.3,"Diesel",2,125,"Manual"
13.995,"Passat",2015,27.2,62.8,"Diesel",2,30,"Semi-Auto"
8.396,"Passat",2015,65.8,70.6,"Diesel",1.6,20,"Manual"
3.495,"Passat",2006,29,37.2,"Petrol",1.6,265,"Manual"
9.44,"Passat",2016,63.97,68.9,"Diesel",1.6,20,"Manual"
11.491,"Passat",2015,35.777,68.9,"Diesel",2,20,"Manual"
29.48,"Passat",2019,14.521,43.5,"Hybrid",1.4,135,"Semi-Auto"
14.99,"Passat",2019,8.781,53.3,"Diesel",2,145,"Manual"
17.499,"Passat",2016,31.037,53.3,"Diesel",2,145,"Semi-Auto"
21,"Passat",2018,9,62.8,"Diesel",2,145,"Semi-Auto"
11.499,"Passat",2016,66.904,67.3,"Diesel",2,20,"Manual"
10.299,"Passat",2017,75.551,67.3,"Diesel",2,20,"Manual"
23.999,"Passat",2019,4.249,49.6,"Diesel",1.6,145,"Semi-Auto"
15.9,"Passat",2018,29.645,67.3,"Diesel",2,150,"Manual"
16.498,"Passat",2017,22.136,60.1,"Diesel",2,145,"Semi-Auto"
16.995,"Passat",2017,27.437,68.9,"Diesel",2,145,"Manual"
17.883,"Passat",2019,7.454,46.3,"Petrol",1.5,145,"Manual"
11.59,"Passat",2016,48.502,62.8,"Diesel",2,30,"Semi-Auto"
27,"Passat",2020,2,57.7,"Diesel",2,150,"Manual"
10.49,"Passat",2015,49.959,68.9,"Diesel",1.6,20,"Manual"
11.995,"Passat",2015,29.008,70.6,"Diesel",1.6,20,"Semi-Auto"
16.99,"Passat",2019,17.365,54.3,"Diesel",2,145,"Manual"
8.26,"Passat",2015,65.07,68.9,"Diesel",1.6,20,"Manual"
11.995,"Passat",2015,30.52,68.9,"Diesel",2,20,"Manual"
11.999,"Passat",2017,63.336,62.8,"Diesel",2,145,"Automatic"
8.4,"Passat",2015,81.148,68.9,"Diesel",2,20,"Manual"
8.599,"Passat",2015,57.552,70.6,"Diesel",1.6,20,"Manual"
14.798,"Passat",2016,33.485,61.4,"Diesel",2,30,"Semi-Auto"
13.45,"Passat",2016,21.186,62.8,"Diesel",2,30,"Automatic"
15.485,"Passat",2018,32.007,62.8,"Diesel",2,145,"Semi-Auto"
9.292,"Passat",2016,104,67.3,"Diesel",2,20,"Manual"
9.295,"Passat",2016,99.16,60.1,"Diesel",2,30,"Automatic"
19.298,"Passat",2019,10.781,41.5,"Petrol",1.5,145,"Semi-Auto"
10.298,"Passat",2016,56.038,68.9,"Diesel",2,20,"Manual"
19.995,"Passat",2018,54.04,166,"Hybrid",1.4,135,"Semi-Auto"
12.995,"Passat",2018,31.276,70.6,"Diesel",1.6,145,"Manual"
24.647,"Passat",2019,9.386,54.3,"Diesel",2,145,"Automatic"
15.999,"Passat",2017,30.339,62.8,"Diesel",2,150,"Semi-Auto"
10.495,"Passat",2015,53.643,70.6,"Diesel",1.6,20,"Automatic"
12.3,"Passat",2016,31.451,68.9,"Diesel",2,20,"Manual"
7.391,"Passat",2014,76.599,61.4,"Diesel",2,30,"Manual"
12.41,"Passat",2015,46.195,68.9,"Diesel",2,20,"Manual"
22.495,"Passat",2019,19.5,39.2,"Petrol",1.5,145,"Semi-Auto"
10.989,"Passat",2016,58.256,68.9,"Diesel",2,20,"Manual"
14.491,"Passat",2017,38.105,68.9,"Diesel",2,20,"Manual"
13.495,"Passat",2016,36.694,67.3,"Diesel",1.6,20,"Manual"
19.499,"Passat",2017,25.091,54.3,"Petrol",1.4,145,"Semi-Auto"
15.999,"Passat",2017,14.51,60.1,"Diesel",2,150,"Semi-Auto"
13.989,"Passat",2018,35.063,70.6,"Diesel",1.6,145,"Automatic"
21.991,"T-Roc",2018,9.076,53.3,"Petrol",1.5,145,"Manual"
23.75,"T-Roc",2018,12.188,41.5,"Petrol",2,145,"Automatic"
25.5,"T-Roc",2020,1.69,44.1,"Petrol",1.5,145,"Manual"
24.995,"T-Roc",2019,6.588,49.6,"Diesel",2,145,"Semi-Auto"
19.95,"T-Roc",2019,2.158,50.4,"Diesel",1.6,145,"Manual"
28.495,"T-Roc",2019,2.15,34.5,"Petrol",2,145,"Automatic"
26.883,"T-Roc",2019,4.562,49.6,"Diesel",2,145,"Automatic"
31.85,"T-Roc",2020,3,34.5,"Petrol",2,145,"Semi-Auto"
17.49,"T-Roc",2019,5.981,50.4,"Diesel",1.6,145,"Manual"
18.495,"T-Roc",2018,10.398,53.3,"Petrol",1.5,145,"Manual"
17.495,"T-Roc",2018,6.908,55.4,"Petrol",1,145,"Manual"
34.991,"T-Roc",2019,10.824,32.5,"Petrol",2,145,"Automatic"
18.49,"T-Roc",2018,5.952,50.4,"Diesel",1.6,150,"Manual"
24.59,"T-Roc",2020,22.462,50.4,"Diesel",2,145,"Manual"
18.995,"T-Roc",2018,15.1,44.1,"Petrol",1,145,"Manual"
16.49,"T-Roc",2018,23.494,55.4,"Petrol",1,150,"Manual"
18.79,"T-Roc",2019,3.803,44.1,"Petrol",1,150,"Manual"
20.99,"T-Roc",2018,10.582,53.3,"Petrol",1.5,145,"Manual"
19.89,"T-Roc",2019,11.18,50.4,"Diesel",1.6,145,"Manual"
16.989,"T-Roc",2018,14.452,55.4,"Petrol",1,145,"Manual"
22.23,"T-Roc",2019,3.392,50.4,"Diesel",2,145,"Manual"
33.074,"T-Roc",2019,1.409,32.5,"Petrol",2,145,"Semi-Auto"
25.99,"T-Roc",2019,2.423,49.6,"Diesel",2,145,"Semi-Auto"
21.45,"T-Roc",2020,3.972,42.2,"Petrol",1.5,145,"Manual"
24.99,"T-Roc",2020,3,39.8,"Petrol",1.5,145,"Semi-Auto"
17.995,"T-Roc",2019,12,50.4,"Diesel",1.6,145,"Manual"
31.99,"T-Roc",2020,5.5,32.5,"Petrol",2,150,"Automatic"
21.999,"T-Roc",2020,5,42.2,"Petrol",1.5,145,"Manual"
17.999,"T-Roc",2019,8,44.1,"Petrol",1,145,"Manual"
22.45,"T-Roc",2019,5,39.8,"Petrol",1.5,145,"Automatic"
21.23,"T-Roc",2020,1.897,44.1,"Petrol",1,145,"Manual"
21.995,"T-Roc",2019,4.387,50.4,"Diesel",1.6,145,"Manual"
38.99,"T-Roc",2020,2,32.5,"Petrol",2,145,"Semi-Auto"
25.999,"T-Roc",2020,5,44.1,"Petrol",1.5,145,"Manual"
21.29,"T-Roc",2018,23.012,53.3,"Petrol",1.5,145,"Manual"
23.995,"T-Roc",2019,2.819,42.2,"Petrol",1.5,145,"Manual"
17.995,"T-Roc",2018,15.701,55.4,"Petrol",1,150,"Manual"
21.699,"T-Roc",2019,13.637,46.3,"Diesel",2,145,"Manual"
19.49,"T-Roc",2018,6.252,53.3,"Petrol",1.5,145,"Manual"
17.25,"T-Roc",2018,7.942,55.4,"Petrol",1,150,"Manual"
16.999,"T-Roc",2018,17.506,55.4,"Petrol",1,145,"Manual"
16.799,"T-Roc",2018,16.817,55.4,"Petrol",1,145,"Manual"
23.979,"T-Roc",2019,3.896,49.6,"Diesel",2,150,"Automatic"
24.291,"T-Roc",2019,6.83,49.6,"Diesel",2,150,"Semi-Auto"
23.999,"T-Roc",2019,5.027,39.8,"Petrol",1.5,145,"Semi-Auto"
17.685,"T-Roc",2018,22.584,44.1,"Petrol",1,145,"Manual"
24.69,"T-Roc",2019,4.956,49.6,"Diesel",2,145,"Semi-Auto"
19.995,"T-Roc",2019,12.3,42.2,"Petrol",1.5,145,"Manual"
22.41,"T-Roc",2019,5.528,39.8,"Petrol",1.5,145,"Semi-Auto"
25.995,"T-Roc",2018,5.756,41.5,"Petrol",2,150,"Semi-Auto"
24.49,"T-Roc",2020,2.243,44.1,"Petrol",1.5,145,"Manual"
20.99,"T-Roc",2019,20.124,50.4,"Diesel",1.6,145,"Manual"
23.425,"T-Roc",2018,18.61,41.5,"Petrol",2,145,"Semi-Auto"
27.291,"T-Roc",2019,3.381,49.6,"Diesel",2,150,"Semi-Auto"
21.995,"T-Roc",2019,14.685,50.4,"Diesel",1.6,150,"Manual"
22.99,"T-Roc",2018,12.958,41.5,"Petrol",2,150,"Semi-Auto"
18.15,"T-Roc",2018,20.886,53.3,"Petrol",1.5,150,"Manual"
28,"T-Roc",2019,6.979,34.5,"Petrol",2,145,"Automatic"
23.49,"T-Roc",2019,5.814,50.4,"Diesel",2,145,"Manual"
31.95,"T-Roc",2019,5,32.5,"Petrol",2,145,"Automatic"
21.998,"T-Roc",2019,6.187,50.4,"Diesel",2,145,"Manual"
22.38,"T-Roc",2019,9.868,50.4,"Diesel",1.6,145,"Manual"
27.499,"T-Roc",2019,6,49.6,"Diesel",2,145,"Automatic"
17.3,"T-Roc",2018,17.4,55.4,"Petrol",1,145,"Manual"
17,"T-Roc",2018,12.894,44.1,"Petrol",1,150,"Manual"
24.995,"T-Roc",2019,5.552,50.4,"Diesel",2,145,"Manual"
19.29,"T-Roc",2018,2.75,53.3,"Petrol",1.5,145,"Manual"
25.45,"T-Roc",2019,3.826,39.8,"Petrol",1.5,145,"Automatic"
37.99,"T-Roc",2020,1.429,32.5,"Petrol",2,145,"Semi-Auto"
19.45,"T-Roc",2018,10.468,50.4,"Diesel",1.6,145,"Manual"
19.99,"T-Roc",2020,1.897,44.1,"Petrol",1,145,"Manual"
21.49,"T-Roc",2019,3.535,46.3,"Diesel",2,145,"Manual"
20.95,"T-Roc",2018,11.146,53.3,"Petrol",1.5,145,"Manual"
24.29,"T-Roc",2019,5.028,39.8,"Petrol",1.5,150,"Semi-Auto"
17.49,"T-Roc",2018,22.113,55.4,"Petrol",1,145,"Manual"
32,"T-Roc",2019,2.128,32.5,"Petrol",2,145,"Automatic"
19.995,"T-Roc",2018,29.039,53.3,"Petrol",1.5,150,"Manual"
21.411,"T-Roc",2020,2.461,42.2,"Petrol",1.5,150,"Manual"
22.495,"T-Roc",2019,2.86,39.8,"Petrol",1.5,145,"Semi-Auto"
19.998,"T-Roc",2018,11.941,52.3,"Petrol",1.5,145,"Semi-Auto"
19.79,"T-Roc",2019,3.845,50.4,"Diesel",1.6,145,"Manual"
22.052,"T-Roc",2018,6.012,39.8,"Petrol",1.5,145,"Automatic"
19.995,"T-Roc",2018,16.251,53.3,"Petrol",1.5,145,"Manual"
16.995,"T-Roc",2018,13.996,55.4,"Petrol",1,145,"Manual"
17.307,"T-Roc",2018,16.884,55.4,"Petrol",1,150,"Manual"
25.79,"T-Roc",2020,1.208,50.4,"Diesel",2,145,"Semi-Auto"
22.206,"T-Roc",2019,2.344,46.3,"Diesel",2,145,"Manual"
23.995,"T-Roc",2019,4.116,42.2,"Petrol",1.5,145,"Manual"
32.99,"T-Roc",2019,3,32.5,"Petrol",2,145,"Automatic"
23.49,"T-Roc",2019,5.309,39.8,"Petrol",1.5,145,"Automatic"
20.99,"T-Roc",2019,4.36,50.4,"Diesel",1.6,145,"Manual"
21.495,"T-Roc",2019,3.014,50.4,"Diesel",1.6,145,"Manual"
18.5,"T-Roc",2019,7.102,50.4,"Diesel",1.6,145,"Manual"
20.999,"T-Roc",2020,1.843,44.1,"Petrol",1,145,"Manual"
32.99,"T-Roc",2019,7.671,32.5,"Petrol",2,145,"Automatic"
17.95,"T-Roc",2018,18.2,53.3,"Petrol",1.5,150,"Manual"
32.49,"T-Roc",2019,9.475,32.5,"Petrol",2,145,"Automatic"
21.092,"T-Roc",2018,17.588,53.3,"Petrol",1.5,145,"Manual"
20.99,"T-Roc",2018,9.275,53.3,"Petrol",1.5,145,"Manual"
30.99,"T-Roc",2019,8.106,32.5,"Petrol",2,145,"Automatic"
22.79,"T-Roc",2018,27,41.5,"Petrol",2,145,"Automatic"
23.795,"T-Roc",2020,4,42.2,"Petrol",1.5,150,"Manual"
27.295,"T-Roc",2020,2.317,49.6,"Diesel",2,145,"Automatic"
21.495,"T-Roc",2018,14.521,42.2,"Petrol",1.5,150,"Manual"
18.004,"T-Roc",2020,2.512,44.8,"Petrol",1,145,"Manual"
21.399,"T-Roc",2018,7.5,53.3,"Petrol",1.5,145,"Manual"
26.995,"T-Roc",2020,2.964,39.8,"Petrol",1.5,150,"Semi-Auto"
20.99,"T-Roc",2019,6,50.4,"Diesel",2,145,"Manual"
21.49,"T-Roc",2019,7.052,42.2,"Petrol",1.5,150,"Manual"
19.499,"T-Roc",2019,8.745,42.2,"Petrol",1.5,145,"Manual"
21.991,"T-Roc",2019,5.156,42.2,"Petrol",1.5,145,"Manual"
19.299,"T-Roc",2018,16.077,53.3,"Petrol",1.5,145,"Manual"
20.995,"T-Roc",2019,4,50.4,"Diesel",2,145,"Manual"
21.75,"T-Roc",2019,8.325,50.4,"Diesel",1.6,145,"Manual"
20.912,"T-Roc",2019,6.608,50.4,"Diesel",1.6,145,"Manual"
19.99,"T-Roc",2019,4.646,50.4,"Diesel",1.6,145,"Manual"
25.99,"T-Roc",2019,10.986,50.4,"Diesel",2,145,"Manual"
22.995,"T-Roc",2019,4.003,46.3,"Diesel",2,145,"Manual"
27.49,"T-Roc",2020,3.001,42.2,"Petrol",1.5,145,"Manual"
18.25,"T-Roc",2018,8.8,44.1,"Petrol",1,145,"Manual"
33,"T-Roc",2019,2.515,32.5,"Petrol",2,145,"Semi-Auto"
26,"T-Roc",2020,2,42.2,"Petrol",1.5,145,"Manual"
24.495,"T-Roc",2019,5.773,49.6,"Diesel",2,150,"Semi-Auto"
20.291,"T-Roc",2018,23.195,53.3,"Petrol",1.5,145,"Manual"
31.99,"T-Roc",2019,3.548,32.5,"Petrol",2,145,"Automatic"
24.469,"T-Roc",2019,12.54,39.8,"Petrol",1.5,145,"Automatic"
30.991,"T-Roc",2020,1.343,34.5,"Petrol",2,145,"Semi-Auto"
6.5,"Up",2016,15.587,62.8,"Petrol",1,20,"Manual"
7.45,"Up",2018,9.1,64.2,"Petrol",1,150,"Manual"
9.995,"Up",2018,12.5,68.9,"Petrol",1,145,"Manual"
7.42,"Up",2017,26.075,64.2,"Petrol",1,20,"Manual"
7.8,"Up",2017,3.732,64.2,"Petrol",1,145,"Manual"
5.9,"Up",2016,25.847,62.8,"Petrol",1,20,"Manual"
9.7,"Up",2019,4.815,54.3,"Petrol",1,145,"Manual"
6.5,"Up",2016,45,64.2,"Petrol",1,20,"Manual"
5.4,"Up",2013,13.461,62.8,"Petrol",1,20,"Manual"
6.295,"Up",2017,32.058,64.2,"Petrol",1,145,"Manual"
8.49,"Up",2019,1.445,54.3,"Petrol",1,145,"Manual"
7.299,"Up",2017,23.162,64.2,"Petrol",1,150,"Manual"
7.488,"Up",2017,28.449,64.2,"Petrol",1,150,"Manual"
5.47,"Up",2013,28.393,60.1,"Petrol",1,20,"Manual"
6.295,"Up",2016,41.2,62.8,"Petrol",1,20,"Manual"
6.87,"Up",2016,16.429,64.2,"Petrol",1,20,"Manual"
5.995,"Up",2013,23.39,62.8,"Petrol",1,20,"Manual"
6.5,"Up",2016,8.822,62.8,"Petrol",1,20,"Manual"
5.2,"Up",2014,15,62.8,"Petrol",1,20,"Manual"
7.99,"Up",2017,9.179,64.2,"Petrol",1,145,"Manual"
9.495,"Up",2018,12.146,60.1,"Petrol",1,145,"Manual"
5.295,"Up",2012,56.5,62.8,"Petrol",1,20,"Manual"
6.118,"Up",2015,16.7,62.8,"Petrol",1,20,"Manual"
7.98,"Up",2017,21.9,64.2,"Petrol",1,150,"Manual"
4.495,"Up",2014,46.748,62.8,"Petrol",1,20,"Manual"
7.19,"Up",2017,11.971,64.2,"Petrol",1,20,"Manual"
9.69,"Up",2019,2.463,54.3,"Petrol",1,145,"Manual"
11.995,"Up",2019,1.224,54.3,"Petrol",1,145,"Manual"
7.99,"Up",2016,27,64.2,"Petrol",1,20,"Manual"
6.298,"Up",2015,19.367,62.8,"Petrol",1,20,"Manual"
6.99,"Up",2016,11.732,64.2,"Petrol",1,20,"Manual"
7.75,"Up",2018,16.5,64.2,"Petrol",1,145,"Manual"
7.495,"Up",2014,5,60.1,"Petrol",1,20,"Manual"
9.999,"Up",2020,5,54.3,"Petrol",1,145,"Manual"
6.727,"Up",2013,27.658,60.1,"Petrol",1,20,"Manual"
5.995,"Up",2015,50.263,60.1,"Petrol",1,20,"Manual"
5.18,"Up",2014,30.32,62.8,"Petrol",1,20,"Manual"
7.49,"Up",2017,23.53,64.2,"Petrol",1,20,"Manual"
5.495,"Up",2013,42.346,67.3,"Petrol",1,0,"Manual"
8.495,"Up",2017,29.54,60.1,"Petrol",1,20,"Manual"
6.4,"Up",2015,32.915,62.8,"Petrol",1,20,"Manual"
6.995,"Up",2015,18.644,62.8,"Petrol",1,20,"Manual"
8.995,"Up",2017,19,60.1,"Petrol",1,150,"Manual"
6.699,"Up",2014,8.397,60.1,"Petrol",1,20,"Manual"
6.399,"Up",2017,23.252,64.2,"Petrol",1,20,"Manual"
7.499,"Up",2017,14.032,64.2,"Petrol",1,20,"Manual"
9.995,"Up",2018,6.178,64.2,"Petrol",1,145,"Manual"
7.8,"Up",2016,26.41,61.4,"Petrol",1,20,"Manual"
9.495,"Up",2019,3.851,54.3,"Petrol",1,145,"Manual"
6.495,"Up",2016,21.49,62.8,"Petrol",1,20,"Manual"
7.495,"Up",2016,13.019,61.4,"Petrol",1,20,"Manual"
7.495,"Up",2017,31,64.2,"Petrol",1,145,"Manual"
5.497,"Up",2016,46.592,64.2,"Petrol",1,20,"Manual"
6.99,"Up",2017,21.827,60.1,"Petrol",1,150,"Manual"
7.5,"Up",2017,14,64.2,"Petrol",1,145,"Manual"
7.5,"Up",2017,10.551,64.2,"Petrol",1,145,"Manual"
6.99,"Up",2017,28.886,64.2,"Petrol",1,20,"Manual"
4.799,"Up",2014,52.592,62.8,"Petrol",1,20,"Manual"
3.99,"Up",2016,50,62.8,"Petrol",1,20,"Manual"
8.96,"Up",2019,5.026,54.3,"Petrol",1,145,"Manual"
8.75,"Up",2017,18.118,60.1,"Petrol",1,150,"Manual"
7.465,"Up",2016,26.156,61.4,"Petrol",1,20,"Manual"
7.995,"Up",2017,9.256,68.9,"Petrol",1,150,"Manual"
6.43,"Up",2014,23.25,60.1,"Petrol",1,20,"Manual"
7.495,"Up",2017,20,64.2,"Petrol",1,145,"Manual"
4.998,"Up",2014,48.916,62.8,"Petrol",1,20,"Manual"
7.995,"Up",2017,22.34,64.2,"Petrol",1,150,"Manual"
8.495,"Up",2016,12.695,61.4,"Petrol",1,20,"Manual"
6.495,"Up",2013,24,62.8,"Petrol",1,20,"Manual"
10.965,"Up",2019,1.653,54.3,"Petrol",1,145,"Manual"
10.29,"Up",2019,2.442,54.3,"Petrol",1,145,"Manual"
7.777,"Up",2018,19.411,64.2,"Petrol",1,145,"Manual"
7.362,"Up",2017,25,64.2,"Petrol",1,145,"Manual"
7.295,"Up",2017,14.291,64.2,"Petrol",1,20,"Manual"
7.99,"Up",2015,16.561,60.1,"Petrol",1,20,"Manual"
4.698,"Up",2016,77.832,62.8,"Petrol",1,20,"Manual"
7.4,"Up",2017,32.558,64.2,"Petrol",1,150,"Manual"
4.298,"Up",2014,44.049,62.8,"Petrol",1,20,"Manual"
6.8,"Up",2015,14.9,67.3,"Petrol",1,0,"Manual"
8.49,"Up",2019,6,55.4,"Petrol",1,145,"Manual"
8.4,"Up",2017,19.487,64.2,"Petrol",1,20,"Manual"
5.499,"Up",2015,27,62.8,"Petrol",1,20,"Manual"
